attempt_index,success_index,molecule_key,objective,delta_est_ev,best_objective_so_far,best_delta_so_far,is_new_best,status
1,1,NSFPKBSRRKTUCK-UHFFFAOYSA-N,-0.2267869324879579,0.2267869324879579,-0.2267869324879579,0.2267869324879579,True,success
2,2,TYRQLYOWVMBGNA-UHFFFAOYSA-N,-0.9227025687864564,0.9227025687864564,-0.2267869324879579,0.2267869324879579,False,success
3,3,HXWXPNZYXZHKRZ-UHFFFAOYSA-N,-0.4364488117392064,0.4364488117392064,-0.2267869324879579,0.2267869324879579,False,success
4,4,ZAGUESFSZZNNGP-UHFFFAOYSA-N,-0.2720058556612108,0.2720058556612108,-0.2267869324879579,0.2267869324879579,False,success
5,5,UKMKRHRCQLZPGT-UHFFFAOYSA-N,-0.2867886443293266,0.2867886443293266,-0.2267869324879579,0.2267869324879579,False,success
7,6,STACUZZGKSWALO-UHFFFAOYSA-N,-0.4024623157447224,0.4024623157447224,-0.2267869324879579,0.2267869324879579,False,success
8,7,BKUMJJLBFBDXGD-UHFFFAOYSA-N,-0.2814150454570883,0.2814150454570883,-0.2267869324879579,0.2267869324879579,False,success
9,8,XFLQTXGZQAAHAI-UHFFFAOYSA-N,-0.2497015890000705,0.2497015890000705,-0.2267869324879579,0.2267869324879579,False,success
10,9,AMGVEBPJFUEWLX-UHFFFAOYSA-N,-0.2672513253286588,0.2672513253286588,-0.2267869324879579,0.2267869324879579,False,success
11,10,OHQFVBCXZCGROC-UHFFFAOYSA-N,-0.3286848239330111,0.3286848239330111,-0.2267869324879579,0.2267869324879579,False,success
12,11,MDBVXVGLLQXSTQ-UHFFFAOYSA-N,-0.3085722867528591,0.3085722867528591,-0.2267869324879579,0.2267869324879579,False,success
13,12,NNFSKHBTJWXTQJ-UHFFFAOYSA-N,-0.3081588927999259,0.3081588927999259,-0.2267869324879579,0.2267869324879579,False,success
14,13,XGPVIOJANRNKMD-UHFFFAOYSA-N,-0.2631936628581209,0.2631936628581209,-0.2267869324879579,0.2267869324879579,False,success
15,14,MLHIMDRRGDRXQW-UHFFFAOYSA-N,-0.2298038808261615,0.2298038808261615,-0.2267869324879579,0.2267869324879579,False,success
16,15,YSKSYGZSFISTGH-UHFFFAOYSA-N,-0.2695549259628587,0.2695549259628587,-0.2267869324879579,0.2267869324879579,False,success
17,16,YVDLTBKGQDBKQW-UHFFFAOYSA-N,-0.3066377718971622,0.3066377718971622,-0.2267869324879579,0.2267869324879579,False,success
18,17,NMHQWTLWOWSATB-UHFFFAOYSA-N,-0.2540564815030829,0.2540564815030829,-0.2267869324879579,0.2267869324879579,False,success
19,18,VQJCMFYAJLAEFQ-UHFFFAOYSA-N,-0.3152912170279904,0.3152912170279904,-0.2267869324879579,0.2267869324879579,False,success
20,19,SUVXEVRKTOAMPY-UHFFFAOYSA-N,-0.2465502080936339,0.2465502080936339,-0.2267869324879579,0.2267869324879579,False,success
