molecule_key,smiles_canonical,inchikey,n_records,n_delta_est_values,delta_est_min_ev,delta_est_mean_ev,delta_est_median_ev,delta_est_std_ev,has_any_invest_record,all_delta_est_negative,oscillator_strength_max,oscillator_strength_mean,vee_ev_mean,geometry_available,representative_geometry_path,all_geometry_paths,source_files_contributing,source_compound_ids,aggregation_notes,source_subsets_contributing,s1_ev_mean,source_datasets,has_geometry_for_pool,bo_score
ABGKQRIFJNWBPG-UHFFFAOYSA-N,C1=CC2=CN=NC3=NN=NC(=C1)N23,ABGKQRIFJNWBPG-UHFFFAOYSA-N,15,12,-0.2965,0.1216,0.09525,0.18386838101876443,True,False,0.0039,0.0018831713083333331,1.985742,True,data/raw/pollice_2021/repository/xyzs/S42_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S42_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S42,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.9463285714285714,pollice_2021,True,-2.408934279399334
ABLZNTPTIOQSLC-UHFFFAOYSA-N,c1cc2ncc3ncc4nnc(n1)n2c34,ABLZNTPTIOQSLC-UHFFFAOYSA-N,5,4,0.0765,0.2678,0.22785,0.19633503677812236,False,False,0.0061,0.0049295612,2.624185,True,data/raw/pollice_2021/repository/xyzs/S952_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S952_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S952,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.6456749999999998,pollice_2021,True,-2.291169453031649
ABOYPHLUVGQTBH-UHFFFAOYSA-N,Nc1cccc(N)c1-c1nc2ncc3ccc4cnc(n1)n2c34,ABOYPHLUVGQTBH-UHFFFAOYSA-N,2,1,0.388,0.388,0.388,,False,False,0.01154542,0.006272710000000001,2.243683,True,data/raw/pollice_2021/repository/xyzs/S1203_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1203_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1203,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.249,pollice_2021,True,-2.325589887506479
ACDZEUHKBZHGIW-UHFFFAOYSA-N,c1cc2nnc3cncc4nnc1c2n43,ACDZEUHKBZHGIW-UHFFFAOYSA-N,5,4,-0.068,0.06515,0.0513,0.12108753032414195,True,False,0.0012,0.00050553546,2.216753,True,data/raw/pollice_2021/repository/xyzs/S978_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S978_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S978,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.1546250000000002,pollice_2021,True,-2.920815134846772
ACSHWAUFPUQZFW-UHFFFAOYSA-N,CNc1cc(-n2c3ccccc3c3ccccc32)ccc1C1=NC2=CC=CC3=NC(c4ccc(-n5c6ccccc6c6ccccc65)cc4NC)=NC(=N1)N23,ACSHWAUFPUQZFW-UHFFFAOYSA-N,2,1,0.053,0.053,0.053,,False,False,0.2788638,0.22623189999999999,2.263131,True,data/raw/pollice_2021/repository/xyzs/S822_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S822_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S822,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.564,pollice_2021,True,-0.6076078433428175
ACVSWDNWZJZSHD-UHFFFAOYSA-N,c1nc2nnc3cnc4nnc(n1)n2c34,ACVSWDNWZJZSHD-UHFFFAOYSA-N,5,4,0.1234,0.30810000000000004,0.2435,0.23440911529489064,False,False,0.0186,0.009751690226,2.332856,True,data/raw/pollice_2021/repository/xyzs/S1084_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1084_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1084,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.573475,pollice_2021,True,-1.8538868222904894
ADFGYHFITFIZHS-UHFFFAOYSA-N,Cc1nc2nc(-n3cnc4cc(-n5cccc5)cc(NC(C)C)c43)c3ccc4c(-n5cnc6cc(-n7cccc7)cc(NC(C)C)c65)nc(n1)n2c34,ADFGYHFITFIZHS-UHFFFAOYSA-N,2,1,0.068,0.068,0.068,,False,False,0.9948,0.71889915,2.227147,True,data/raw/pollice_2021/repository/xyzs/S1658_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1658_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1658,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.244,pollice_2021,True,-0.07026421903645544
AEPBAHFIIJTEEY-UHFFFAOYSA-N,Nc1cn(-c2ccccc2)cc1-c1nc2ncnc3nc(-c4cn(-c5ccccc5)cc4N)c4ccc1c4n23,AEPBAHFIIJTEEY-UHFFFAOYSA-N,2,1,0.339,0.339,0.339,,False,False,0.2791728,0.2433364,2.661216,True,data/raw/pollice_2021/repository/xyzs/S1290_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1290_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1290,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.325,pollice_2021,True,-0.8931268820445297
AEURHYMMADOUJT-UHFFFAOYSA-N,c1cc2ccc3cnc4ncc(n1)n2c34,AEURHYMMADOUJT-UHFFFAOYSA-N,5,4,-0.078,0.0947,0.0579,0.1762572740815728,True,False,0.0008,0.00026680372,2.307141,True,data/raw/pollice_2021/repository/xyzs/S856_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S856_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S856,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.25665,pollice_2021,True,-3.0969045843609617
AFAQGDJZJVVUML-UHFFFAOYSA-N,Fc1c(F)c(F)c(C2=CC3=NC(n4c5ccccc5c5ccccc54)=NC4=NC(n5c6ccccc6c6ccccc65)=NC(=C2)N34)c(F)c1F,AFAQGDJZJVVUML-UHFFFAOYSA-N,2,1,0.348,0.348,0.348,,False,False,0.1229,0.11905589999999999,2.607808,True,data/raw/pollice_2021/repository/xyzs/S595_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S595_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S595,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.816,pollice_2021,True,-1.2584480817763235
AFHRVRJLMFNREI-UHFFFAOYSA-N,NC1=CC2=NC=NC3=NC=NC(=C1)N23,AFHRVRJLMFNREI-UHFFFAOYSA-N,15,12,-0.4932,-0.1471428571428572,-0.12185000000000001,0.1154519394798993,True,True,0.0016,0.0004450890658333334,2.634814,True,data/raw/pollice_2021/repository/xyzs/S342_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S342_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S342,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,2.5838357142857142,pollice_2021,True,-2.7958773030120456
AFWQPZCCMUFEMU-UHFFFAOYSA-N,Cc1ccc(Nc2cc(N3CCCCC3)ccc2C2=CC3=CC(c4ccc(N5CCCCC5)cc4Nc4ccc(C)o4)=NC4=NC(c5ccsn5)=NC(=N2)N34)o1,AFWQPZCCMUFEMU-UHFFFAOYSA-N,2,1,0.048,0.048,0.048,,False,False,0.5682,0.41108520000000004,1.875262,True,data/raw/pollice_2021/repository/xyzs/S794_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S794_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S794,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.46,pollice_2021,True,-0.29349876296974464
AGSBLIAYIGWCGZ-UHFFFAOYSA-N,C=CC1=CC=C2N=CN=C3N=CC=C1N23,AGSBLIAYIGWCGZ-UHFFFAOYSA-N,15,14,-0.4121,-0.052707142857142855,-0.05665,0.13528924833217795,True,False,0.0135,0.007582745416666667,2.057613,True,data/raw/pollice_2021/repository/xyzs/S282_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S282_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S282,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.9456785714285714,pollice_2021,True,-1.8696659098054969
AGWYMCHKOVNNDQ-UHFFFAOYSA-N,c1ncc2nnc3nnc4nnc1n2c43,AGWYMCHKOVNNDQ-UHFFFAOYSA-N,5,4,0.0674,0.1668,0.13040000000000002,0.11967622988714177,False,False,0.0003,0.0001400000016841348,2.390235,True,data/raw/pollice_2021/repository/xyzs/S1110_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1110_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1110,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.426625,pollice_2021,True,-3.590264269038877
AHIPUOAARQTRBU-UHFFFAOYSA-N,C1=CC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC=NC(=C1)N23,AHIPUOAARQTRBU-UHFFFAOYSA-N,2,1,0.196,0.196,0.196,,False,False,0.0328,0.024185795000000003,2.643968,True,data/raw/pollice_2021/repository/xyzs/S477_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S477_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S477,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.786,pollice_2021,True,-1.6801260238814868
AHKBNRJNXWNAJX-UHFFFAOYSA-N,c1nc2nc(-n3cnc4sccc43)c3ccc4c(-n5cnc6sccc65)nc(n1)n2c34,AHKBNRJNXWNAJX-UHFFFAOYSA-N,2,1,0.438,0.438,0.438,,False,False,0.0338,0.0176986775,3.023463,True,data/raw/pollice_2021/repository/xyzs/S1449_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1449_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1449,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.476,pollice_2021,True,-1.9090831712328726
AHYCOJOPBGDSNM-UHFFFAOYSA-N,c1ccc(Nc2cn(-c3ccc[nH]3)cc2-c2nc3nc(-c4ncccn4)nc4nc(-c5cn(-c6ccc[nH]6)cc5Nc5ccccc5)c5ccc2c5n34)cc1,AHYCOJOPBGDSNM-UHFFFAOYSA-N,2,1,0.199,0.199,0.199,,False,False,0.5006,0.31462515,2.123226,True,data/raw/pollice_2021/repository/xyzs/S1303_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1303_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1303,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.164,pollice_2021,True,-0.4995091460523165
AIERZRBIVFQOLL-UHFFFAOYSA-N,CC(C)(C)n1ccc(Nc2c[nH]cc2-c2nc3ncnc4nc(-c5c[nH]cc5Nc5ccn(C(C)(C)C)c5)c5ccc2c5n34)c1,AIERZRBIVFQOLL-UHFFFAOYSA-N,2,1,0.105,0.105,0.105,,False,False,0.6373,0.48210949999999997,2.136516,True,data/raw/pollice_2021/repository/xyzs/S1380_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1380_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1380,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.089,pollice_2021,True,-0.3006560747055338
AIGBYBZMOHGNEC-UHFFFAOYSA-N,c1nc2cnc3nnc4nnc(n1)n2c34,AIGBYBZMOHGNEC-UHFFFAOYSA-N,5,4,0.2842,0.4325,0.4284,0.14806077580957533,False,False,0.0153,0.008804101106,2.2748,True,data/raw/pollice_2021/repository/xyzs/S1051_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1051_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1051,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.66765,pollice_2021,True,-2.0995082853298914
AIGCCKYKCMJAQS-UHFFFAOYSA-N,C1=NC2=NC=NC3=NN=NC(=N1)N23,AIGCCKYKCMJAQS-UHFFFAOYSA-N,15,12,-0.3324,0.24009285714285714,0.07425000000000001,0.3816769081995232,True,False,0.0099,0.006622242,2.651172,True,data/raw/pollice_2021/repository/xyzs/S85_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S85_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S85,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,2.5673500000000002,pollice_2021,True,-2.0043643667213766
AIMAADOMPVEBCA-UHFFFAOYSA-N,[C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N32,AIMAADOMPVEBCA-UHFFFAOYSA-N,15,14,-0.3875,-0.07269285714285714,-0.0757,0.11927022624331635,True,False,0.0112,0.005706810999999999,1.762206,True,data/raw/pollice_2021/repository/xyzs/S204_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S204_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S204,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.6252928571428573,pollice_2021,True,-1.9507815895670613
AIXHFSJHIQTYOE-UHFFFAOYSA-N,O=[N+]([O-])C1=NC2=NC=NC3=CC=CC(=C1)N32,AIXHFSJHIQTYOE-UHFFFAOYSA-N,15,13,-0.352,0.07327142857142857,0.0449,0.18722765422205798,True,False,0.0231,0.010188652500000001,1.908255,True,data/raw/pollice_2021/repository/xyzs/S328_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S328_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S328,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.9278642857142858,pollice_2021,True,-1.6363878321016272
AIXHNFXCNJGSOG-UHFFFAOYSA-N,c1cc(Nc2cccn2C2CCCC2)c2c(c1)ncn2-c1nc2ncnc3nc(-n4cnc5cccc(Nc6cccn6C6CCCC6)c54)c4ccc1c4n23,AIXHNFXCNJGSOG-UHFFFAOYSA-N,2,1,0.021,0.021,0.021,,False,False,0.788,0.48334875,1.965908,True,data/raw/pollice_2021/repository/xyzs/S1671_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1671_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1671,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.192,pollice_2021,True,-0.12447377699909339
AJDYQLLHUPQGEG-UHFFFAOYSA-N,c1cc2ccc3ccc4ncc(n1)n2c34,AJDYQLLHUPQGEG-UHFFFAOYSA-N,5,4,-0.0558,0.09564999999999999,0.0677,0.15000561100616647,True,False,0.0009,0.00044984973999999997,2.285575,True,data/raw/pollice_2021/repository/xyzs/S848_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S848_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S848,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.227525,pollice_2021,True,-3.04575266509324
AJYVBLZZTKVLRH-UHFFFAOYSA-N,Nc1cccc2c1ncn2-c1nc2ncnc3nc(-n4cnc5c(N)cccc54)c4ccc1c4n23,AJYVBLZZTKVLRH-UHFFFAOYSA-N,2,1,0.211,0.211,0.211,,False,False,0.3347626,0.2016313,2.577831,True,data/raw/pollice_2021/repository/xyzs/S1461_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1461_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1461,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.478,pollice_2021,True,-0.6862630547931134
AJZDADZYINZRJV-UHFFFAOYSA-N,Cc1ccc2c3ccc(C)cc3n(C3=NC4=CC(F)=CC5=NC(n6c7cc(C)ccc7c7ccc(C)cc76)=NC(=N3)N45)c2c1,AJZDADZYINZRJV-UHFFFAOYSA-N,2,1,0.052,0.052,0.052,,False,False,0.0802,0.07921109,2.826395,True,data/raw/pollice_2021/repository/xyzs/S501_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S501_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S501,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,3.081,pollice_2021,True,-1.1478255775644084
AKWQARHQYCLJOS-UHFFFAOYSA-N,Cc1ccc2c(cnn2-c2nc3ncnc4nc(-n5ncc6cc(C)ccc65)c5ccc2c5n34)c1,AKWQARHQYCLJOS-UHFFFAOYSA-N,2,1,0.269,0.269,0.269,,False,False,0.1028,0.06037635,3.107872,True,data/raw/pollice_2021/repository/xyzs/S1500_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1500_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1500,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.409,pollice_2021,True,-1.2570068430942003
ALADLXLLYNRMRL-UHFFFAOYSA-N,C1=C(c2ccccc2)N=C2N=C(n3c4ccccc4c4ccccc43)N=C3N=C(c4ccccc4)C=C1N23,ALADLXLLYNRMRL-UHFFFAOYSA-N,2,1,0.134,0.134,0.134,,False,False,0.1195,0.09321367,2.408109,True,data/raw/pollice_2021/repository/xyzs/S575_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S575_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S575,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.621,pollice_2021,True,-1.0566320583732107
AMGVEBPJFUEWLX-UHFFFAOYSA-N,CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N32,AMGVEBPJFUEWLX-UHFFFAOYSA-N,15,14,-0.3454,-0.08294999999999998,-0.09605,0.11163154193079193,True,False,0.0057,0.003818259250000001,1.584308,True,data/raw/pollice_2021/repository/xyzs/S131_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S131_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S131,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.4219714285714284,pollice_2021,True,-2.2441243824080335
AMRVQOYWRJQFSS-UHFFFAOYSA-N,Sc1nc2ncnc3ncc4ccc1c4n32,AMRVQOYWRJQFSS-UHFFFAOYSA-N,5,4,-0.1692,0.005775,-0.00735,0.1543609703476454,True,False,0.0133,0.005377602,3.113055,True,data/raw/pollice_2021/repository/xyzs/S1126_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1126_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1126,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,3.098675,pollice_2021,True,-1.8761480324958326
AMRWKEOHAVJTOD-UHFFFAOYSA-N,c1nc2ccc3nnc4ccc(n1)n2c34,AMRWKEOHAVJTOD-UHFFFAOYSA-N,5,4,0.0,0.23827500000000001,0.22605000000000003,0.20597283599219257,False,False,0.0003045133,0.00010090266000000001,2.787748,True,data/raw/pollice_2021/repository/xyzs/S1031_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1031_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1031,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.1228,pollice_2021,True,-3.5163794725736395
